EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
122415441,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 12:18,3413638,03-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415429,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:42,3413638,03-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415452,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 14:47,3413638,03-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415363,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 16:18,3413641,03-May,0,,1,1,1,1001,1,1001,0,0,0
122415455,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:48,3413641,03-May,0,,1,1,1,1001,1,1001,0,0,0
122415453,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:07,3413642,03-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415357,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:18,3413642,03-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415457,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:27,3413645,04-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415360,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:17,3413645,04-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,3413646,04-May,0,,1,1,1,1001,1,1001,0,0,0
122415439,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 11:48,3413646,04-May,0,,1,1,1,1001,1,1001,0,0,0
122415454,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:28,3413647,04-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415424,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:28,3413647,04-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415441,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 12:18,3413649,05-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415363,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 16:18,3413653,06-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415441,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 12:18,3413654,06-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415389,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 13:58,3413654,06-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415437,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 11:19,3413655,06-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415359,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:57,3413655,06-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415458,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:47,3413655,06-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415457,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:27,3413657,06-May,0,,1,1,1,1001,1,1001,0,0,0
122415250,BAGS cards / Sheff 31st Dec,A5 500m,31/12/2015 11:42,7367891,5. Velvet Lady,0,4.639730708,1,6.999850539,1,1001,1,1001,2.24,0,0
122415305,BAGS cards / Crayfd 31st Dec,S6 540m,31/12/2015 13:58,8455318,5. Miss Model,0,5.9,1,1,1,1001,1,1001,0,0,0
101365785,AUS / AnPk (AUS) 31st Dec,R1 515m Gr5,31/12/2015 08:12,8480313,7. Hes A Villian,0,22.27304408,1,18.71234613,1,1001,1,1001,55.24,0,0
101365953,NZL / AsPk (NZL) 31st Dec,R7 390m C1,31/12/2015 00:51,8684863,6. Pukeko Warrior,0,,1,8.948012939,1,1001,1,1001,86.56,0,0
101365809,AUS / Mand (AUS) 31st Dec,R2 302m Gr4/5,31/12/2015 11:01,8751940,1. Erupting,0,6.5,1,1,1,1001,1,1001,0,0,0
122415282,BAGS cards / Romfd 31st Dec,A7 400m,31/12/2015 13:48,8712015,3. Jackieo,0,11.05722005,1,1,1,1001,1,1001,0,0,0
101365803,AUS / AnPk (AUS) 31st Dec,R10 515m Gr5,31/12/2015 11:28,8768069,7. Lukey Chino,0,13.5,1,1,1,1001,1,1001,0,0,0
101365797,AUS / AnPk (AUS) 31st Dec,R7 515m Gr4,31/12/2015 10:23,8963644,3. Earl Bale,0,15.5,1,13.03975043,1,1001,1,1001,453.58,0,0
122415292,BAGS cards / Romfd 31st Dec,A1 400m,31/12/2015 15:28,8922306,1. Newlawn Cross,0,17.10955608,1,1,1,1001,1,1001,0,0,0
101365779,AUS / APrk (AUS) 31st Dec,R8 520m Gr3/4,31/12/2015 11:13,9031723,1. Spring Bonanza,0,12.25,1,1,1,1001,1,1001,0,0,0
101365807,AUS / Mand (AUS) 31st Dec,R1 302m Gr5,31/12/2015 10:42,9242014,3. Bella Bullet,0,20.75,1,16.86314229,1,1001,1,1001,20.24,0,0
101365815,AUS / Mand (AUS) 31st Dec,R5 490m Final,31/12/2015 12:03,9269316,6. Rita Gundi,0,80,1,1,1,1001,1,1001,0,0,0
101365757,AUS / Mait (AUS) 31st Dec,R8 565m Gr5,31/12/2015 06:54,9381827,9. Cristalle Anna,0,240,1,106.7809984,1,1001,1,1001,24.84,0,0
101365789,AUS / AnPk (AUS) 31st Dec,R3 515m Gr6,31/12/2015 08:57,9418088,6. Macmarcus,0,15.50146877,1,10.04056012,1,1001,1,1001,165.68,0,0
122415254,BAGS cards / Sheff 31st Dec,A4 500m,31/12/2015 12:12,9405405,3. Wooly Escalade,0,8.4,1,1,1,1001,1,1001,0,0,0
122415231,BAGS cards / Sund 31st Dec,A2 450m,31/12/2015 12:18,9533233,6. Motor Bar Sport,1,9.6,1,1,1,1001,1,1001,0,0,0
122415290,BAGS cards / Romfd 31st Dec,A3 400m,31/12/2015 15:07,9649460,1. Guinness Rascal,0,4.5,1,1,1,1001,1,1001,0,0,0
101365956,NZL / AsPk (NZL) 31st Dec,R10 457m C1/2,31/12/2015 01:44,9961279,2. Pukeko Bolt,0,,1,8.323121202,1,1001,1,1001,125.08,0,0
101365932,AUS / Warr (AUS) 31st Dec,R5 450m Gr5,31/12/2015 08:22,10252957,5. Wise Harvey,1,2.788002125,1,2.704640404,1,1001,1,1001,2367.38,0,0
101365787,AUS / AnPk (AUS) 31st Dec,R2 515m Juv,31/12/2015 08:34,10172735,8. Ruff State,1,2.98,1,2.68004854,1,1001,1,1001,1771.74,0,0
101365765,AUS / APrk (AUS) 31st Dec,R1 520m Nvce,31/12/2015 08:40,10407624,5. Unique Ghosty,0,42,1,24.17249847,1,1001,1,1001,32.58,0,0
101365757,AUS / Mait (AUS) 31st Dec,R8 565m Gr5,31/12/2015 06:54,10498522,4. Be Magic,0,51.47603122,1,38.53443841,1,1001,1,1001,69.98,0,0
101365954,NZL / AsPk (NZL) 31st Dec,R8 390m C1,31/12/2015 01:09,10474037,3. Baduzzi,0,,1,10.903264,1,1001,1,1001,131.74,0,0
101365955,NZL / AsPk (NZL) 31st Dec,R9 457m C1,31/12/2015 01:26,10580521,7. Pianissimo,0,,1,30.74103586,1,1001,1,1001,5.02,0,0
101365926,AUS / Warr (AUS) 31st Dec,R2 450m Semi,31/12/2015 07:20,10675108,5. Running Home,0,51.6078313,1,15.09815951,1,1001,1,1001,19.56,0,0
101365753,AUS / Mait (AUS) 31st Dec,R6 400m Gr5,31/12/2015 06:20,10663057,7. She Knows Fabio,1,4.298281034,1,3.94608389,1,1001,1,1001,1091.9,0,0
101366444,AUS / Trar (AUS) 1st Jan,R4 395m Gr7,31/12/2015 23:57,10679686,2. Spritely Geared,0,10.29159065,1,1,1,1001,1,1001,0,0,0
101365749,AUS / Mait (AUS) 31st Dec,R4 400m Mdn,31/12/2015 05:40,10675282,6. Conductress,0,14.5,1,13.25799508,1,1001,1,1001,130.08,0,0
